Cost Center,Program Code,Grant,Budget,Big Bet,Priority Place,Country,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR012825.01 Wal Mart ARPA Communities-- CC 409,"1,000,000.00 ",Landscape,Amazon,Brazil,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR011018.01 MACP-Enduring Earth-409,"783,394.88 ",Landscape,,,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR004950.16 Ubbens PFP - CC409,"600,000.00 ",Landscape,,,,
CC409 EFL - Earth for Life,BEF00006 Bezos – PFP – Other,GR010441.02 Bezos-PFP-Coordination Fund - 409,"436,166.05 ",Landscape,,,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR000011.02 Restricted Coverage Identified,"309,727.50 ",Landscape,,,,
CC409 EFL - Earth for Life,41000054 Forest-Enduring Earth,GR000011.01 Uncovered Salaries and Expenses,"298,287.32 ",Landscape,,,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR011880.01 EE Grantham-- CC409,"275,811.24 ",Landscape,,,,
CC409 EFL - Earth for Life,YucaPFP1 Yucatan PFP Development,GR013013.01 Yucatan Vive PFP -- CC 409,"250,000.00 ",Landscape,,,,
CC409 EFL - Earth for Life,BEF00002 Bezos – PFP – Colombia,GR000011.01 Uncovered Salaries and Expenses,"140,531.55 ",Landscape,Amazon,Colombia ,,
CC409 EFL - Earth for Life,BEF00004 Bezos – PFP – Belize,GR010441.02 Bezos-PFP-Coordination Fund - 409,"139,620.47 ",Landscape,,Belize,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR010662.02 HeCo Colombia - CC409,"137,114.55 ",Landscape,Amazon,Colombia ,,
CC409 EFL - Earth for Life,41000054 Forest-Enduring Earth,GR011768.01 OECM Capacity Building -- 409,"96,527.28 ",Landscape,Eastern Himalaya,,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR003855.01 Earth for Life - 409,"86,580.08 ",Landscape,,,,
CC409 EFL - Earth for Life,41000054 Forest-Enduring Earth,GR000011.02 Restricted Coverage Identified,"74,043.67 ",Landscape,,,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR000001.02 Goal Core Allocation - Unrestricted,"73,000.00 ",Landscape,,,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR011350.01 Enduring Earth Bucket- 409,"64,935.07 ",Landscape,Amazon,Brazil,,
CC409 EFL - Earth for Life,BEF00002 Bezos – PFP – Colombia,GR010441.02 Bezos-PFP-Coordination Fund - 409,"57,453.53 ",Landscape,Amazon,Colombia ,,
CC409 EFL - Earth for Life,51300001 Seascapes,GR012343.01 Moore_30X30 - HQ cc409 12.5% to HQ,"33,141.33 ",Landscape,,,,
CC409 EFL - Earth for Life,41000054 Forest-Enduring Earth,GR011018.01 MACP-Enduring Earth-409,"29,727.02 ",Landscape,,,,
CC409 EFL - Earth for Life,41000054 Forest-Enduring Earth,GR011418.03 Sall - SW Amazon - 409,"24,577.99 ",Landscape,Amazon,"Peru, Bolivia",,
CC409 EFL - Earth for Life,41000054 Forest-Enduring Earth,GR012343.01 Moore_30X30 - HQ cc409 12.5% to HQ,"18,586.85 ",Landscape,Amazon,,,
CC409 EFL - Earth for Life,41000054 Forest-Enduring Earth,GR012952.01 Moore Mechanisms in Brazilian Amazon--CC 409,"18,333.33 ",Landscape,Amazon,Brazil,,
CC409 EFL - Earth for Life,BEF00005 Bezos – PFP – Comms,GR010441.02 Bezos-PFP-Coordination Fund - 409,"15,000.00 ",Landscape,,,,
CC409 EFL - Earth for Life,BEF00006 Bezos – PFP – Other,GR007700.17 Enduring Earth Financial Supervision CC409,"11,892.95 ",Landscape,,,,
CC409 EFL - Earth for Life,9L082204 PFP - Colombia,GR010662.02 HeCo Colombia - CC409,"8,341.45 ",Landscape,Amazon,Colombia ,,
CC409 EFL - Earth for Life,BEF00002 Bezos – PFP – Colombia,GR010441.01 Bezos-PFP-Transition Funds - 409,1.00 ,Landscape,Amazon,Colombia ,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR010441.02 Bezos-PFP-Coordination Fund - 409,"22,485.17 ",Landscape,,,,
CC409 EFL - Earth for Life,41000054 Forest-Enduring Earth,GR013000.01 PPG Inclusive Conservation Initiative,"300,000.00 ",Landscape,,,,
CC409 EFL - Earth for Life,41000054 Forest-Enduring Earth,GR000001.03 Program Enhancements - Unrestricted,"200,000.00 ",Landscape,,,,
CC410 Forest Goal Management,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"471,544.42 ",Private Sector ,,,,
CC410 Forest Goal Management,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"219,476.05 ",Landscape,,,,
CC410 Forest Goal Management,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"172,405.01 ",Resilience,,,,
CC410 Forest Goal Management,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"95,967.69 ",Infrastructure,,,,
CC410 Forest Goal Management,41000000 Forest Goal Management,GR000011.01 Uncovered Salaries and Expenses,"73,898.64 ",Private Sector ,,,,
CC410 Forest Goal Management,41000000 Forest Goal Management,GR003947.01 FSC Certified Paper and Tissue Campain - 436,"60,500.96 ",Private Sector ,,,,
CC410 Forest Goal Management,PRGMCORE Program Core,GR000011.01 Uncovered Salaries and Expenses,"13,586.40 ",Other,,,,
CC412 Markets,US204900 Food Program Management,GR000011.01 Uncovered Salaries and Expenses,"178,728.79 ",Resilience,,,,
CC412 Markets,47000001 Private Sector Supply Chain,GR000011.01 Uncovered Salaries and Expenses,"110,798.55 ",Private Sector ,,,,
CC412 Markets,12231003 Outcome 3 - Pre-Competitive Hubs,GR012255.01 YUM DCF Strategy CC412 - 15.5%,"15,433.72 ",Private Sector ,,,,
CC412 Markets,10571002 PSL Outcome 2 - Agriculture,GR012255.01 YUM DCF Strategy CC412 - 15.5%,115.70 ,Private Sector ,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR012552.01 ReFED US Food Waste Pact - CC414,"427,130.40 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR012002.02 Kroger Round Up - Food Loss and Waste - 414,"132,575.38 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR013161.01 Hilton Food Loss - 414,"118,063.76 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR000268.01 Food Waste Bucket - 414,"78,869.70 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR012199.01 AHLA - Hotel Kitchen Refresh - CC414,"75,984.80 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR000011.02 Restricted Coverage Identified,"63,118.46 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR000267.04 Food Goal Bucket - Sally Mead Hands Match - 414,"50,213.12 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR011862.01 EPA - Food Waste REO - CC414,"35,731.55 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR003584.01 Zero Hunger- Food Waste - 414,"29,038.99 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR0035A4.01 Wild Classroom- Food Waste Curriculum - 414,"27,315.31 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR003467.06 Hilton Food Waste - 414,"20,961.01 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR013206.01 Aldi - Food Loss and Waste - CC414,"17,301.87 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR012418.01 VoLo Fdn - Food Waste Warriors 2024-2025 - CC414,"15,500.00 ",Other,,,,
CC414 Food Waste,47000031 Food Loss and Waste,GR000011.01 Uncovered Salaries and Expenses,"10,230.99 ",Other,,,,
CC414 Food Waste,47000032 Food Waste Global Initiative,GR013126.01 WRI- Global Food Waste - CC414,"71,706.29 ",Other,,,,
CC414 Food Waste,47000032 Food Waste Global Initiative,GR012863.01 Global Methane Hub - Food Waste - CC414,"44,087.00 ",Other,,,,
CC414 Food Waste,47000032 Food Waste Global Initiative,GR013189.01 Posner Fdn - FLW - FY25 - CC414,"22,000.00 ",Other,,,,
CC416 Forest and Climate Program (FCP),9Z140050 Apple NBSOP,GR011969.01 NBSOP - Implementation - Apple - 416 - 10%,"793,345.74 ",Resilience,Greater Mekong,Vietnam,,
CC416 Forest and Climate Program (FCP),9Z140053 NbSOP Climate,GR011968.02 Apple Inc - Nature-Based Solutions Origination Platform: Forest - 416,"200,000.00 ",Resilience,,,,
CC416 Forest and Climate Program (FCP),9Z140054 NbSOP Oceans,GR011967.03 Nbs Origination Platform - Ocean Blue Finance - 416,"142,727.27 ",Resilience,Greater Mekong ,,,
CC416 Forest and Climate Program (FCP),9Z140013 Forest and Climate – MRV,GR000041.01 Innovation Fund 2,"142,501.00 ",Resilience,,,,
CC416 Forest and Climate Program (FCP),9Z140052 NbSOP Forest,GR011969.01 NBSOP - Implementation - Apple - 416 - 10%,"142,115.91 ",Resilience,Greater Mekong,Vietnam,,
CC416 Forest and Climate Program (FCP),9Z140051 NbSOP General,GR011969.01 NBSOP - Implementation - Apple - 416 - 10%,"114,953.24 ",Resilience,Greater Mekong,Vietnam,,
CC416 Forest and Climate Program (FCP),43100000 Forest-based Carbon Management,GR011969.01 NBSOP - Implementation - Apple - 416 - 10%,"106,472.07 ",Resilience,,,,
CC416 Forest and Climate Program (FCP),43100000 Forest-based Carbon Management,GR000011.01 Uncovered Salaries and Expenses,"102,921.56 ",Resilience,,,,
CC416 Forest and Climate Program (FCP),43100000 Forest-based Carbon Management,GR000420.01 General Forest Bucket - 416,"100,160.61 ",Resilience,,,,
CC416 Forest and Climate Program (FCP),43100000 Forest-based Carbon Management,GR000011.02 Restricted Coverage Identified,"63,269.95 ",Resilience,,,,
CC416 Forest and Climate Program (FCP),9Z140013 Forest and Climate – MRV,GR000011.01 Uncovered Salaries and Expenses,"59,070.00 ",Resilience,,,,
CC416 Forest and Climate Program (FCP),9Z140056 NbSOP Other Goals,GR010662.05 HeCo Colombia - 416,"27,332.00 ",Resilience,Amazon,,,
CC416 Forest and Climate Program (FCP),9Z140051 NbSOP General,GR012826.01 Advancing High-integrity Landscape Approaches and Strengthening Protected Areas in the Brazilian Amazon - WMT - cc41,"19,000.00 ",Resilience,Amazon ,Brazil,,
CC416 Forest and Climate Program (FCP),9Z140051 NbSOP General,GR003596.03 Forests Science Based Targets - 416,"5,822.57 ",Resilience,,,,
CC419 Integration and Performance Unit,41900000 Network Public Sector Partnerships,GR000011.01 Uncovered Salaries and Expenses,"1,064,391.20 ",Other,,,,
CC419 Integration and Performance Unit,41900000 Network Public Sector Partnerships,GR000011.02 Restricted Coverage Identified,"137,721.57 ",Other,,,,
CC419 Integration and Performance Unit,BEF00009 Bezos – Coordination,GR010444.04 Bezos Earth Fund CCO ESSR/M&E - 419,"75,817.60 ",Other,,,,
CC419 Integration and Performance Unit,9L080301 Southern Chile Project,GR009998.01 Unfunded Other,"69,111.54 ",Other,,,,
CC422 GCF Management Unit,9L082204 PFP - Colombia,GR010662.01 HeCo Colombia - CC422,"3,709,975.00 ",Landscape,Amazon,Colombia ,,
CC422 GCF Management Unit,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,GR007901.01 BFL Fee - 422,"237,646.43 ",Landscape,Eastern Himalaya,,,
CC422 GCF Management Unit,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,GR011437.01 HeCo Fee,"181,887.75 ",Landscape,Amazon ,Colombia ,,
CC422 GCF Management Unit,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,GR010660.01 PPF Coral Reef Rescue - Fiji,"65,000.00 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC422 GCF Management Unit,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,GR010678.01 Recharge Pakistan GCF - CC422,"12,153,423.00 ",Resilience,,Pakistan ,,
CC422 GCF Management Unit,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,GR011438.01 Recharge Pakistan AE Fee,"527,172.57 ",Resilience,,Pakistan ,,
CC422 GCF Management Unit,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,GR000038.01 Board Payout FY17-19,"476,863.79 ",Resilience,,,,
CC422 GCF Management Unit,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,GR000038.01 Board Payout FY17-19,"206,877.64 ",Landscape,,,,
CC422 GCF Management Unit,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,GR000038.01 Board Payout FY17-19,"99,038.50 ",Landscape,,,,
CC424 Multilateral Engagement,44300002 Multilateral Engagement,GR011054.08 Network Services - World Bank - 424,"125,122.00 ",Finance,,,,
CC425 Climate Adaptation and Resilience,8C000200 Adaptation and Resilience,GR012241.01 Google c/o Tides Fdtn - ManglarIA (AI) for Mangroves - Climate - 425,"523,474.67 ",Resilience,,,,
CC425 Climate Adaptation and Resilience,BEF00015 Bezos – Mangroves – Other,GR010442.02 Bezos Mangroves - Climate Resilience - 425,"486,662.68 ",Resilience,"SWIO, Eastern Pacific",,,
CC425 Climate Adaptation and Resilience,8C000200 Adaptation and Resilience,GR012954.02 Moore Fdn - Climate Resilience - 425 - 0%,"385,000.00 ",Resilience,,,,
CC425 Climate Adaptation and Resilience,8C000200 Adaptation and Resilience,GR012954.01 Moore Fdn - Climate Resilience - 425 - 12.5%,"319,893.56 ",Resilience,,,,
CC425 Climate Adaptation and Resilience,8C000206 Corporate Resilience Partnerships,GR000011.02 Restricted Coverage Identified,"253,403.15 ",Private Sector ,,,,
CC425 Climate Adaptation and Resilience,8C000202 Climate Risk Mgmt,GR000011.02 Restricted Coverage Identified,"221,224.26 ",Resilience,,,,
CC425 Climate Adaptation and Resilience,41800000 Environment and Disaster Management,GR000011.01 Uncovered Salaries and Expenses,"219,502.31 ",Resilience,,,,
CC425 Climate Adaptation and Resilience,41800001 International Institutions,GR000525.01 Australia Wildfires Emergency Response - 425,"143,291.83 ",Resilience,,,,
CC425 Climate Adaptation and Resilience,8C000200 Adaptation and Resilience,GR000406.01 Climate Change Adaptation & Resilience Bucket - 425,"91,186.52 ",Resilience,,,,
CC425 Climate Adaptation and Resilience,8C000206 Corporate Resilience Partnerships,GR011021.01 TCCC-Conservation Partnership Phase III - Climate Resilience - 425,"75,352.22 ",Private Sector ,,,,
CC425 Climate Adaptation and Resilience,8C000200 Adaptation and Resilience,GR000011.01 Uncovered Salaries and Expenses,"69,294.79 ",Resilience,,,,
CC425 Climate Adaptation and Resilience,8C000202 Climate Risk Mgmt,GR011191.01 BMU/OECD: Central and Southeast Asia - 425,"64,897.55 ",Resilience,,"Kazakhstan, Mongolia and Uzbekistan",,
CC425 Climate Adaptation and Resilience,8C000206 Corporate Resilience Partnerships,GR011282.01 McDonalds: Sust. Supply Chain (Kuhn) - 425,"49,531.35 ",Private Sector ,,,,
CC425 Climate Adaptation and Resilience,BEF00001 Bezos – PFP – Peru,GR010441.09 Bezos-PFP-Coordination Fund - 425,"49,416.23 ",Resilience,Amazon ,Peru,,
CC425 Climate Adaptation and Resilience,8C000202 Climate Risk Mgmt,GR010678.03 Recharge Pakistan GCF - CC425,"27,735.65 ",Resilience,,Pakistan,,
CC425 Climate Adaptation and Resilience,41800001 International Institutions,"GR000525.04 Australia Wildfires Emergency Response ""Related Activity"" - 425","27,603.04 ",Resilience,,,,
CC425 Climate Adaptation and Resilience,8C000200 Adaptation and Resilience,GR010662.04 HeCo Colombia - 425,"26,158.00 ",Resilience,Amazon ,Colombia ,,
CC425 Climate Adaptation and Resilience,8C000206 Corporate Resilience Partnerships,GR011501.01 RCG: Adaptation and Resilience - 425,"21,366.73 ",Private Sector ,,,,
CC425 Climate Adaptation and Resilience,8C000206 Corporate Resilience Partnerships,GR013205.01 Aldi — Risk Assmt and Pilot Environmental Sustainability Strategy Support - 425,"17,301.87 ",Private Sector ,,,,
CC425 Climate Adaptation and Resilience,8C000202 Climate Risk Mgmt,GR000011.01 Uncovered Salaries and Expenses,"3,500.00 ",Resilience,,,,
CC426 GEF Management Unit,9Z142902 GEF Manangement Unit,GR010617.01 Evaluations CBSL Cameroon,"44,250.00 ",Landscape,Congo ,,,
CC426 GEF Management Unit,9Z142902 GEF Manangement Unit,GR010616.02 GEF Ecuador Evaluations,"35,000.00 ",Landscape,Amazon,Ecuador,,
CC426 GEF Management Unit,9Z142902 GEF Manangement Unit,GR007700.01 Agency Fees from GEF SA007700 - 426,"1,593,969.78 ",Resilience,,,,
CC426 GEF Management Unit,9Z142902 GEF Manangement Unit,GR007700.01 Agency Fees from GEF SA007700 - 426,"1,258,338.89 ",Landscape,,,,
CC426 GEF Management Unit,9Z142902 GEF Manangement Unit,GR007700.01 Agency Fees from GEF SA007700 - 426,"309,825.79 ",Other,,,,
CC426 GEF Management Unit,9Z142902 GEF Manangement Unit,GR011054.05 Network Services - GEF - 426,"269,549.00 ",Landscape,,,,
CC426 GEF Management Unit,9Z142902 GEF Manangement Unit,GR007700.01 Agency Fees from GEF SA007700 - 426,"166,452.98 ",Private Sector ,,,,
CC426 GEF Management Unit,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,GR007700.01 Agency Fees from GEF SA007700 - 426,"42,077.42 ",Finance,,,,
CC426 GEF Management Unit,9Z142902 GEF Manangement Unit,GR010623.01 Coral Reef Rescue Evaluations,"37,500.00 ",Landscape,,,,
CC426 GEF Management Unit,9Z142902 GEF Manangement Unit,GR007700.01 Agency Fees from GEF SA007700 - 426,"17,352.87 ",Finance,,,,
CC427 Corporate Renewables,41300007 Renewable Thermal Collaborative,GR010982.01 Anonymous 24025181:02 – 2030 Climate Challenge RTC - 427,"2,190,956.85 ",Private Sector ,,,,
CC427 Corporate Renewables,41300002 Climate Business Engagement,GR003262.01 CBN Partnership Fees - 427,"1,062,595.15 ",Private Sector ,,,,
CC427 Corporate Renewables,41300002 Climate Business Engagement,GR000011.02 Restricted Coverage Identified,"129,570.40 ",Private Sector ,,,,
